日期,北京,上海,郑州,武汉,西安,沈阳
2022/12/7,48,73,183,69,250,54
2022/12/8,47,85,236,74,193,67
2022/12/9,63,77,312,84,225,70
2022/12/10,34,77,163,147,100,53
2022/12/11,30,42,40,80,66,65
2022/12/12,50,58,123,84,153,86
2022/12/13,78,96,106,90,130,70
2022/12/14,57,77,89,73,94,52
2022/12/15,37,68,89,84,138,51
2022/12/16,29,47,56,108,104,61
2022/12/17,30,54,65,53,72,30
2022/12/18,41,58,55,55,85,34
2022/12/19,50,73,74,70,132,62
2022/12/20,58,69,93,82,103,56
2022/12/21,28,72,88,117,84,51
2022/12/22,30,74,80,66,66,40
2022/12/23,30,44,81,73,105,30
2022/12/24,30,54,58,84,142,59
2022/12/25,44,52,102,79,87,109
2022/12/26,50,72,162,102,67,123
2022/12/27,31,97,160,125,83,99
2022/12/28,36,105,160,169,78,54
2022/12/29,30,44,95,153,109,69
2022/12/30,48,68,193,129,165,89
2022/12/31,47,94,138,165,228,67
